City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bethel,41.3712,-73.414,15.93,50,0,5.14,US,1684222727
84,uvira,-3.4067,29.1458,28.07,64,94,2.21,CD,1684222936
85,aykhal,66.0,111.5,1.62,84,100,1.94,RU,1684222936
86,gallup,35.5281,-108.7426,9.91,71,0,3.09,US,1684222936
87,port macquarie,-31.4333,152.9167,16.05,76,70,6.14,AU,1684222937
88,aitape,-3.1374,142.3475,28.09,87,100,4.45,PG,1684222937
89,ponta do sol,32.6667,-17.1,20.56,74,83,2.52,PT,1684222937
90,neiafu,-18.65,-173.9833,22.73,87,100,5.27,TO,1684222938
91,rio grande,-32.035,-52.0986,15.31,84,5,1.64,BR,1684222938
92,the pas,53.8251,-101.2541,14.01,58,0,4.12,CA,1684222939
93,rovaniemi,66.5,25.7167,16.67,41,0,3.6,FI,1684222939
94,severo-kurilsk,50.6789,156.125,8.22,63,100,3.46,RU,1684222739
95,ancud,-41.8697,-73.8203,9.8,77,36,2.87,CL,1684222939
96,broome,42.2506,-75.833,9.33,75,96,0.45,US,1684222940
97,kashi,39.4547,75.9797,31.56,8,0,5.0,CN,1684222940
98,lompoc,34.6391,-120.4579,12.79,88,100,2.06,US,1684222726
99,honiara,-9.4333,159.95,26.74,88,100,1.65,SB,1684222941
100,lebu,-37.6167,-73.65,12.67,93,100,1.56,CL,1684222941
101,hithadhoo,-0.6,73.0833,28.44,80,97,8.34,MV,1684222941
102,bayshore gardens,27.4253,-82.5904,24.99,67,0,3.6,US,1684222942
103,nuevo casas grandes,30.4167,-107.9167,16.32,70,70,0.69,MX,1684222942
104,mocuba,-16.8392,36.9856,26.76,58,6,0.65,MZ,1684222942
105,yellowknife,62.456,-114.3525,9.29,93,100,5.14,CA,1684222781
106,yar-sale,66.8333,70.8333,-2.26,89,97,9.25,RU,1684222943
107,zaysan,47.4667,84.8667,16.93,26,5,4.89,KZ,1684222944
108,susanville,40.4163,-120.653,10.91,60,0,1.54,US,1684222895
109,waipawa,-41.4122,175.5153,8.53,81,42,1.36,NZ,1684222944
110,zheleznodorozhnyy,55.7503,38.0042,18.29,40,2,4.7,RU,1684222945
111,bambous virieux,-20.3428,57.7575,28.14,65,40,6.69,MU,1684222945
112,chaihe,44.7667,129.7,25.34,41,100,8.78,CN,1684222945
113,saint-georges,12.0564,-61.7485,26.82,83,20,7.2,GD,1684222902
114,stokmarknes,68.5646,14.9108,7.99,71,40,5.66,NO,1684222946
115,naze,28.3667,129.4833,24.51,68,100,2.04,JP,1684222946
116,halifax,44.6453,-63.5724,12.94,70,98,6.69,CA,1684222529
117,cidreira,-30.1811,-50.2056,15.5,88,12,3.32,BR,1684222947
118,fairbanks,64.8378,-147.7164,12.98,45,0,3.09,US,1684222752
119,ushtobe,45.2514,77.9838,24.63,16,100,6.32,KZ,1684222947
120,chuy,-33.6971,-53.4616,12.46,85,8,0.67,UY,1684222899
121,pevek,69.7008,170.3133,-6.79,85,59,3.88,RU,1684222948
122,itoman,26.1247,127.6694,27.21,61,40,5.66,JP,1684222949
123,lac du bonnet,50.2536,-96.0612,14.09,66,9,3.06,CA,1684222949
124,pitkyaranta,61.5734,31.4792,12.86,58,95,5.89,RU,1684222949
125,young,-32.6833,-57.6333,12.98,90,0,3.0,UY,1684222950
126,ngama,11.7833,17.1667,37.82,27,64,5.86,TD,1684222950
127,sangar,63.9242,127.4739,3.83,96,100,1.93,RU,1684222951
